word,part of speech,definition
cuss,verb,to use profanity; curse; swear.
cut,verb,to penetrate with or as if with a sharp-edged instrument or object
dabble,verb,"to play and splash in or as if in water, especially with the hands."
dab,verb,"to pat or tap gently, as with something soft or moist"
dad,noun,father.
daily,adjective,"of, done, occurring, or issued each day or each weekday"
daintily,adjective,of delicate beauty; exquisite
dally,verb,to waste time; loiter; delay.
damage,noun,injury or harm that reduces value or usefulness
dampen,verb,to make damp; moisten
dance,verb,"to move one's feet or body, or both, rhythmically in a pattern of steps, especially to the accompaniment of music."
dandle,verb,"to move (a baby, child, etc.) lightly up and down, as on one's knee or in one's arms."
dangle,verb,"to hang loosely, especially with a jerking or swaying motion"
dare,verb,to have the necessary courage or boldness for something; be bold enough
darken,verb,to make dark or darker.
dart,noun,"a small, slender missile that is pointed at one end and usually feathered at the other and is propelled by hand, as in the game of darts, or by a blowgun when  as a weapon."
dash,verb,"to strike or smash violently, especially so as to break to pieces"
daughter,noun,a female child or person in relation to her parents.
dawdle,verb,to waste time; idle; trifle; loiter
daydream,noun,a reverie indulged in while awake.
day,noun,the interval of light between two successive nights; the time between sunrise and sunset
dazzle,verb,to overpower or dim the vision of by intense light
deadpan,adjective,marked by or accomplished with a careful pretense of seriousness or calm detachment; impassive or expressionless
deal,verb,to occupy oneself or itself (usually followed by with or in)
dearly,adjective,beloved or loved
death,noun,the act of dying; the end of life; the total and permanent cessation of all the vital functions of an organism.
debate,noun,"a discussion, as of a public question in an assembly, involving opposing viewpoints"
debt,noun,something that is owed or that one is bound to pay to or perform for another
decay,verb,to become decomposed; rot
deceivingly,verb,to mislead by a false appearance or statement; delude
decide,verb,"to solve or conclude (a question, controversy, or struggle) by giving victory to one side"
decipher,verb,"to make out the meaning of (poor or partially obliterated writing, etc.)"
decision,noun,"the act or process of deciding; determination, as of a question or doubt, by making a judgment"
declaim,verb,to speak aloud in an oratorical manner; make a formal speech
declare,verb,"to make known or state clearly, especially in explicit or formal terms"
decline,verb,"to withhold or deny consent to do, enter into or upon, etc.; refuse"
decorate,verb,to furnish or adorn with something ornamental or becoming; embellish
decrease,verb,"to diminish or lessen in extent, quantity, strength, power, etc."
decree,noun,"a formal and authoritative order, especially one having the force of law"
decry,verb,to speak disparagingly of; denounce as faulty or worthless; express censure of
dedicate,verb,to set apart and consecrate to a deity or to a sacred purpose
deduce,verb,to derive as a conclusion from something known or assumed; infer
deem,verb,to form or have an opinion; judge; think
deeply,adverb,at or to a considerable extent downward; well within or beneath a surface.
deer,noun,"any of several ruminants of the family Cervidae, most of the males of which have solid, deciduous antlers."
defend,verb,to ward off attack from; guard against assault or injury (usually followed by from or against)
defer,verb,"to put off (action, consideration, etc.) to a future time"
defiantly,adjective,characterized by defiance; boldly resistant or challenging
defile,verb,"to make foul, dirty, or unclean; pollute; taint; debase."
define,verb,"to state or set forth the meaning of (a word, phrase, etc.)"
deflate,verb,"to release the air or gas from (something inflated, as a balloon)"
deflect,verb,to bend or turn aside; turn from a true course or straight line; swerve.
defy,verb,to challenge the power of; resist boldly or openly
degree,noun,"any of a series of steps or stages, as in a process or course of action; a point in any scale."
delay,verb,to put off to a later time; defer; postpone
delegate,noun,"a person designated to act for or represent another or others; deputy; representative, as in a political convention."
delete,verb,to strike out or remove (something written or printed); cancel; erase; expunge.
deliberately,adjective,carefully weighed or considered; studied; intentional
deliberate,adjective,carefully weighed or considered; studied; intentional
delightfully,adjective,giving great pleasure or delight; highly pleasing
delightfully,adjective,giving great pleasure or delight; highly pleasing
deliver,verb,"to carry and turn over (letters, goods, etc.) to the intended recipient or recipients"
delve,verb,"to carry on intensive and thorough research for data, information, or the like; investigate"
demand,verb,to ask for with proper authority; claim as a right
demonstrate,verb,to make evident or establish by arguments or reasoning; prove
demur,verb,"to make objection, especially on the grounds of scruples; take exception; object"
denounce,verb,to condemn or censure openly or publicly
deny,verb,to state that (something declared or believed to be true) is not true
depend,verb,to rely; place trust (usually followed by on or upon)
deplore,verb,to regret deeply or strongly; lament
deposit,verb,"to place for safekeeping or in trust, especially in a bank account"
deprive,verb,to remove or withhold something from the enjoyment or possession of (a person or persons)
deride,verb,to laugh at in scorn or contempt; scoff or jeer at; mock.
descend,verb,to go or pass from a higher to a lower place; move or come down
describe,verb,to tell or depict in written or spoken words; give an account of
desecrate,verb,to divest of sacred or hallowed character or office.
design,verb,"to prepare the preliminary sketch or the plans for (a work to be executed), especially to plan the form and structure of"
design,verb,"to prepare the preliminary sketch or the plans for (a work to be executed), especially to plan the form and structure of"
desire,verb,to wish or long for; crave; want.
desk,noun,"an article of furniture having a broad, usually level, writing surface, as well as drawers or compartments for papers, writing materials, etc."
despair,noun,loss of hope; hopelessness.
despoil,verb,"to strip of possessions, things of value, etc.; rob; plunder; pillage."
destroy,verb,"to reduce (an object) to useless fragments, a useless form, or remains, as by rending, burning, or dissolving; injure beyond repair or renewal; demolish; ruin; annihilate."
destruction,noun,the act of destroying
detach,verb,to unfasten and separate; disengage; disunite.
detail,noun,an individual or minute part; an item or particular.
detect,verb,to discover or catch (a person) in the performance of some act
determine,verb,"to settle or decide (a dispute, question, etc.) by an authoritative or conclusive decision."
development,noun,the act or process of developing; growth; progress
develop,verb,to bring out the capabilities or possibilities of; bring to a more advanced or effective state
devour,verb,"to swallow or eat up hungrily, voraciously, or ravenously."
diagnose,verb,"to determine the identity of (a disease, illness, etc.) by a medical examination"
dictate,verb,to say or read (something) aloud for another person to transcribe or for a machine to record
die,verb,to cease to live; undergo the complete and permanent cessation of all vital functions; become dead.
differentiate,verb,to form or mark differently from other such things; distinguish.
differ,verb,"to be unlike, dissimilar, or distinct in nature or qualities (often followed by from)"
digestion,noun,"the process in the alimentary canal by which food is broken up physically, as by the action of the teeth, and chemically, as by the action of enzymes, and converted into a substance suitable for absorption and assimilation into the body."
digest,verb,to convert (food) in the alimentary canal into absorbable form for assimilation into the system.
digress,verb,"to deviate or wander away from the main topic or purpose in speaking or writing; depart from the principal line of argument, plot, study, etc."
dig,verb,"to break up, turn over, or remove earth, sand, etc., as with a shovel, spade, bulldozer, or claw; make an excavation."
dilate,verb,to make wider or larger; cause to expand.
diligently,adjective,constant in effort to accomplish something; attentive and persistent in doing anything
dime,noun,"a cupronickel-clad coin of the U.S. and Canada, the 10th part of a dollar, equal to 10 cents."
diminish,verb,"to make or cause to seem smaller, less, less important, etc.; lessen; reduce."
dimly,adjective,not bright; obscure from lack of light or emitted light
dimple,noun,"a small, natural hollow area or crease, permanent or transient, in some soft part of the human body, especially one formed in the cheek in smiling."
dim,adjective,not bright; obscure from lack of light or emitted light
dine,verb,to eat the principal meal of the day; have dinner.
dinner,noun,"the main meal of the day, eaten in the evening or at midday."
dinosaurs,noun,"any chiefly terrestrial, herbivorous or carnivorous reptile of the extinct orders Saurischia and Ornithischia, from the Mesozoic Era, certain species of which are the largest known land animals."
dip,verb,"to plunge (something, as a cloth or sponge) temporarily into a liquid, so as to moisten it, dye it, or cause it to take up some of the liquid"
direction,noun,the act or an instance of directing.
direct,verb,"to manage or guide by advice, helpful information, instruction, etc."
dirt,noun,"any foul or filthy substance, as mud, grime, dust, or excrement."
disagree,verb,to fail to agree; differ
disappear,verb,to cease to be seen; vanish from sight.
disapprove,verb,to think (something) wrong or reprehensible; censure or condemn in opinion.
disbelieve,verb,to have no belief in; refuse or reject belief in
discern,verb,"to perceive by the sight or some other sense or by the intellect; see, recognize, or apprehend"
discipline,noun,training to act in accordance with rules; drill
disclaim,verb,to deny or repudiate interest in or connection with; disavow; disown
disclose,verb,to make known; reveal or uncover
discombobulate,verb,to confuse or disconcert; upset; frustrate
discourage,verb,"to deprive of courage, hope, or confidence; dishearten; dispirit."
discovery,noun,the act or an instance of discovering.
discover,verb,"to see, get knowledge of, learn of, find, or find out; gain sight or knowledge of (something previously unseen or unknown)"
discriminate,verb,"to make a distinction in favor of or against a person or thing on the basis of the group, class, or category to which the person or thing belongs rather than according to actual merit; show partiality"
discussion,noun,"an act or instance of discussing; consideration or examination by argument, comment, etc., especially to explore solutions; informal debate."
discuss,verb,"to consider or examine by argument, comment, etc.; talk over or write about, especially to explore solutions; debate"
disease,noun,"a disordered or incorrectly functioning organ, part, structure, or system of the body resulting from the effect of genetic or developmental errors, infection, poisons, nutritional deficiency or imbalance, toxicity, or unfavorable environmental factors; illness; sickness; ailment."
disentangle,verb,to free or become free from entanglement; untangle; extricate (often followed by from).
disfavor,noun,unfavorable regard; displeasure; disesteem; dislike
disfavour,noun,unfavorable regard; displeasure; disesteem; dislike
disguise,verb,"to change the appearance or guise of so as to conceal identity or mislead, as by means of deceptive garb"
disgust,verb,to cause loathing or nausea in.
dishevel,verb,"to let down, as hair, or wear or let hang in loose disorder, as clothing."
dislodge,verb,to remove or force out of a particular place
dismiss,verb,to direct (an assembly of persons) to disperse or go
dismount,verb,"to get off or alight from a horse, bicycle, etc."
disobey,verb,to neglect or refuse to obey.
disparage,verb,to speak of or treat slightingly; depreciate; belittle
displace,verb,"to compel (a person or persons) to leave home, country, etc."
display,verb,to show or exhibit; make visible
disport,verb,to divert or amuse (oneself).
dispute,verb,to engage in argument or debate.
disregard,verb,to pay no attention to; leave out of consideration; ignore
disrespect,noun,lack of respect; discourtesy; rudeness.
dissemble,verb,to give a false or misleading appearance to; conceal the truth or real nature of
dissolve,verb,"to make a solution of, as by mixing with a liquid; pass into solution"
distance,noun,"the extent or amount of space between two things, points, lines, etc."
distance,noun,"the extent or amount of space between two things, points, lines, etc."
distinguish,verb,to mark off as different (often followed by from or by)
distort,verb,to twist awry or out of shape; make crooked or deformed
distract,verb,"to draw away or divert, as the mind or attention"
distribute,verb,to divide and give out in shares; deal out; allot.
distribution,noun,an act or instance of distributing.
distrust,verb,to regard with doubt or suspicion; have no trust in.
disturb,verb,"to interrupt the quiet, rest, peace, or order of; unsettle."
disuse,noun,discontinuance of use or practice
dither,noun,a trembling; vibration.
divert,verb,to turn aside or from a path or course; deflect.
dive,verb,"to plunge into water, especially headfirst."
divide,verb,"to separate into parts, groups, sections, etc."
division,noun,the act or process of dividing; state of being divided.
divulge,verb,"to disclose or reveal (something private, secret, or previously unknown)."
dock,noun,a landing pier.
doctor,noun,"a person licensed to practice medicine, as a physician, surgeon, dentist, or veterinarian."
dodder,verb,to shake; tremble; totter.
dodge,verb,to elude or evade by a sudden shift of position or by strategy
doff,verb,"to remove or take off, as clothing."
dogs,noun,"a domesticated canid, Canis familiaris, bred in many varieties."
dog,noun,"a domesticated canid, Canis familiaris, bred in many varieties."
dolls,noun,"a small figure representing a baby or other human being, especially for use as a child's toy."
doll,noun,"a small figure representing a baby or other human being, especially for use as a child's toy."
donate,verb,"to present as a gift, grant, or contribution; make a donation of, as to a fund or cause"
donkey,noun,"the domestic ass, Equus asinus."
doodle,verb,to draw or scribble idly
door,noun,"a movable, usually solid, barrier for opening and closing an entranceway, cupboard, cabinet, or the like, commonly turning on hinges or sliding in grooves."
dote,verb,to bestow or express excessive love or fondness habitually (usually followed by on or upon)
doublecheck,verb,to check twice or again; recheck.
doubtfully,adjective,of uncertain outcome or result.
doubt,verb,to be uncertain about; consider questionable or unlikely; hesitate to believe.
download,verb,"to transfer (software, data, character sets, etc.) from a distant to a nearby computer, from a larger to a smaller computer, or from a computer to a peripheral device."
downplay,verb,"to treat or speak of (something) so as to reduce emphasis on its importance, value, strength, etc."
downtown,adverb,to or in the main business section of a city.
doze,verb,to sleep lightly or fitfully.
draft,noun,"a drawing, sketch, or design."
drag,verb,"to draw with force, effort, or difficulty; pull heavily or slowly along; haul; trail"
drain,verb,"to withdraw or draw off (a liquid) gradually; remove slowly or by degrees, as by filtration"
drain,verb,"to withdraw or draw off (a liquid) gradually; remove slowly or by degrees, as by filtration"
dramatise,verb,to put into a form suitable for acting on a stage.
dramatize,verb,to put into a form suitable for acting on a stage.
drape,verb,"to cover or hang with cloth or other fabric, especially in graceful folds; adorn with drapery."
drawer,noun,"a sliding, lidless, horizontal compartment, as in a piece of furniture, that may be drawn out in order to gain access to it."
drawl,verb,"to say or speak in a slow manner, usually prolonging the vowels."
draw,verb,"to cause to move in a particular direction by or as if by a pulling force; pull; drag (often followed by along, away, in, out, or off)."
dreamily,adjective,of the nature of or characteristic of dreams; visionary.
dream,noun,"a succession of images, thoughts, or emotions passing through the mind during sleep."
drench,verb,to wet thoroughly; soak.
dress,noun,"an outer garment for women and girls, consisting of bodice and skirt in one piece."
dress,noun,"an outer garment for women and girls, consisting of bodice and skirt in one piece."
dribble,verb,to fall or flow in drops or small quantities; trickle.
drift,noun,a driving movement or force; impulse; impetus; pressure.
drill,noun,"Machinery, Building Trades. a shaftlike tool with two or more cutting edges for making holes in firm materials, especially by rotation."
drink,verb,to take water or other liquid into the mouth and swallow it; imbibe.
drink,verb,to take water or other liquid into the mouth and swallow it; imbibe.
drip,verb,to let drops fall; shed drops
drivel,noun,"saliva flowing from the mouth, or mucus from the nose; slaver."
drive,verb,"to send, expel, or otherwise cause to move by force or compulsion"
driving,adjective,demanding a high or unreasonable rate of work from subordinates.
drone,noun,"the male of the honeybee and other bees, stingless and making no honey."
drool,verb,"to water at the mouth, as in anticipation of food; salivate; drivel."
droop,verb,"to sag, sink, bend, or hang down, as from weakness, exhaustion, or lack of support."
drop,noun,a small quantity of liquid that falls or is produced in a more or less spherical mass; a liquid globule.
drop,noun,a small quantity of liquid that falls or is produced in a more or less spherical mass; a liquid globule.
drug,noun,"Pharmacology. a chemical substance  in the treatment, cure, prevention, or diagnosis of disease or  to otherwise enhance physical or mental well-being."
drum,noun,"a musical percussion instrument consisting of a hollow, usually cylindrical, body covered at one or both ends with a tightly stretched membrane, or head, which is struck with the hand, a stick, or a pair of sticks, and typically produces a booming, tapping, or hollow sound."
drum,noun,"a musical percussion instrument consisting of a hollow, usually cylindrical, body covered at one or both ends with a tightly stretched membrane, or head, which is struck with the hand, a stick, or a pair of sticks, and typically produces a booming, tapping, or hollow sound."
dry,adjective,free from moisture or excess moisture; not moist; not wet
dub,verb,"to invest with any name, character, dignity, or title; style; name; call"
ducks,noun,"any of numerous wild or domesticated web-footed swimming birds of the family Anatidae, especially of the genus Anas and allied genera, characterized by abroad, flat bill, short legs, and depressed body."
duck,noun,"any of numerous wild or domesticated web-footed swimming birds of the family Anatidae, especially of the genus Anas and allied genera, characterized by abroad, flat bill, short legs, and depressed body."
duck,noun,"any of numerous wild or domesticated web-footed swimming birds of the family Anatidae, especially of the genus Anas and allied genera, characterized by abroad, flat bill, short legs, and depressed body."
duel,noun,"a prearranged combat between two persons, fought with deadly weapons according to an accepted code of procedure, especially to settle a private quarrel."
dump,verb,to drop or let fall in a mass; fling down or drop heavily or suddenly
dunk,verb,"to dip (a doughnut, cake, etc.) into coffee, milk, or the like, before eating."
dust,noun,"earth or other matter in fine, dry particles."
dust,noun,"earth or other matter in fine, dry particles."
dwell,verb,to live or stay as a permanent resident; reside.
dye,noun,a coloring material or matter.
earthquake,noun,a series of vibrations induced in the earth's crust by the abrupt rupture and rebound of rocks in which elastic strain has been slowly accumulating.
earth,noun,"(often initial capital letter) the planet third in order from the sun, having an equatorial diameter of 7926 miles (12,755 km) and a polar diameter of 7900 miles (12,714 km), a mean distance from the sun of 92.9 million miles (149.6 million km), and a period of revolution of 365.26 days, and having one satellite."
ear,noun,"the organ of hearing and equilibrium in vertebrates, in humans consisting of an external ear that gathers sound vibrations, a middle ear in which the vibrations resonate against the tympanic membrane, and a fluid-filled internal ear that maintains balance and that conducts the tympanic vibrations to the auditory nerve, which transmits them as impulses to the brain."
ease,noun,"freedom from labor, pain, or physical annoyance; tranquil rest; comfort"
easily,adverb,in an easy manner; with ease; without trouble
east,noun,"a cardinal point of the compass, 90° to the right of north.Abbreviation"
eat,verb,to take into the mouth and swallow for nourishment; chew and swallow (food).
eavesdrop,verb,to listen secretly to a private conversation.
echo,noun,"a repetition of sound produced by the reflection of sound waves from a wall, mountain, or other obstructing surface."
edge,noun,a line or border at which a surface terminates
edge,noun,a line or border at which a surface terminates
educate,verb,"to develop the faculties and powers of (a person) by teaching, instruction, or schooling.Synonyms"
education,noun,"the act or process of imparting or acquiring general knowledge, developing the powers of reasoning and judgment, and generally of preparing oneself or others intellectually for mature life."
effect,noun,something that is produced by an agency or cause; result; consequence
effuse,verb,to pour out or forth; shed; disseminate
eggnog,noun,"a drink made of eggs, milk or cream, sugar, and, usually, rum or wine."
eggs,noun,"the roundish reproductive body produced by the female of certain animals, as birds and most reptiles, consisting of an ovum and its envelope of albumen, jelly, membranes, egg case, or shell, according to species."
egg,noun,"the roundish reproductive body produced by the female of certain animals, as birds and most reptiles, consisting of an ovum and its envelope of albumen, jelly, membranes, egg case, or shell, according to species."
elaborate,adjective,worked out with great care and nicety of detail; executed with great minuteness
elbow,noun,the bend or joint of the human arm between upper arm and forearm.
elbow,noun,the bend or joint of the human arm between upper arm and forearm.
elect,verb,"to choose or select by vote, as for an office"
elegantly,adjective,"tastefully fine or luxurious in dress, style, design, etc."
elevate,verb,to move or raise to a higher place or position; lift up.
elucidate,verb,to make lucid or clear; throw light upon; explain
elude,verb,"to avoid or escape by speed, cleverness, trickery, etc.; evade"
embellish,verb,to beautify by or as if by ornamentation; ornament; adorn.
emboss,verb,to raise or represent (surface designs) in relief.
embrace,verb,to take or clasp in the arms; press to the bosom; hug.
embroider,verb,to decorate with ornamental needlework.
emerge,verb,"to come forth into view or notice, as from concealment or obscurity"
empathise,verb,to experience empathy (often followed by with)
empathize,verb,to experience empathy (often followed by with)
emphasise,verb,to give emphasis to; lay stress upon; stress
emphasize,verb,to give emphasis to; lay stress upon; stress
employ,verb,to hire or engage the services of (a person or persons); provide employment for; have or keep in one's service
empower,verb,"to give power or authority to; authorize, especially by legal or official means"
empty,adjective,containing nothing; having none of the usual or appropriate contents
emulate,verb,to try to equal or excel; imitate with effort to equal or surpass
encase,verb,to enclose in or as in a case
encircle,verb,to form a circle around; surround; encompass
enclose,verb,to shut or hem in; close in on all sides
encompass,verb,to form a circle about; encircle; surround
encounter,verb,"to come upon or meet with, especially unexpectedly"
encourage,verb,"to inspire with courage, spirit, or confidence"
encroach,verb,"to advance beyond proper, established, or usual limits; make gradual inroads"
endanger,verb,to expose to danger; imperil
endorse,verb,"to approve, support, or sustain"
endure,verb,to hold out against; sustain without impairment or yielding; undergo
end,noun,"the last part or extremity, lengthwise, of anything that is longer than it is wide or broad"
end,noun,"the last part or extremity, lengthwise, of anything that is longer than it is wide or broad"
energetically,adjective,"possessing or exhibiting energy, especially in abundance; vigorous"
energize,verb,to give energy to; rouse into activity
enfold,verb,to wrap up; envelop
enforce,verb,to put or keep in force; compel obedience to
engage,verb,to occupy the attention or efforts of (a person or persons)
engine,noun,a machine for converting thermal energy into mechanical energy or power to produce force and motion.
engrave,verb,"to chase (letters, designs, etc.) on a hard surface, as of metal, stone, or the end grain of wood"
engulf,verb,to swallow up in or as in a gulf; submerge
enhance,verb,to raise to a higher degree; intensify; magnify
enjoy,verb,to experience with joy; take pleasure in
enlarge,verb,"to make larger; increase in extent, bulk, or quantity; add to"
enlighten,verb,to give intellectual or spiritual light to; instruct; impart knowledge to
enormously,adjective,"greatly exceeding the common size, extent, etc.; huge; immense"
enquire,verb,inquire.
enshroud,verb,to shroud; conceal.
ensnare,verb,"to capture in, or involve as in, a snare"
entangle,verb,to make tangled; ensnarl; intertwine.
entertain,verb,to hold the attention of pleasantly or agreeably; divert; amuse.
enter,verb,to come or go in
enthuse,verb,to be or become enthusiastic; show enthusiasm
enthusiastically,adjective,full of or characterized by enthusiasm; ardent
entice,verb,to lead on by exciting hope or desire; allure; inveigle
entreat,verb,to ask (a person) earnestly; beseech; implore; beg
entwine,verb,"to twine with, about, around, or together."
enumerate,verb,"to mention separately as if in counting; name one by one; specify, as in a list"
enunciate,verb,"to utter or pronounce (words, sentences, etc.), especially in an articulate or a particular manner"
envelop,verb,to wrap up in or as in a covering
envision,verb,"to picture mentally, especially some future event or events"
envy,noun,"a feeling of discontent or covetousness with regard to another's advantages, success, possessions, etc."
equally,adverb,in an equal or identical manner
equivocate,verb,"to use ambiguous or unclear expressions, usually to avoid commitment or in order to mislead; prevaricate or hedge"
erase,verb,"to rub or scrape out, as letters or characters written, engraved, etc.; efface."
error,noun,"a deviation from accuracy or correctness; a mistake, as in action or speech"
escape,verb,"to slip or get away, as from confinement or restraint; gain or regain liberty"
escort,noun,"a group of persons, or a single person, accompanying another or others for protection, guidance, or courtesy"
especially,adverb,particularly; exceptionally; markedly
espy,verb,to see at a distance; catch sight of.
establish,verb,"to found, institute, build, or bring into being on a firm or stable basis"
estimate,verb,"to form an approximate judgment or opinion regarding the worth, amount, size, weight, etc., of; calculate approximately"
etch,verb,"to cut, bite, or corrode with an acid or the like; engrave with an acid or the like, as to form a design in furrows that when charged with ink will give an impression on paper."
evade,verb,to escape from by trickery or cleverness
evaluate,verb,to determine or set the value or amount of; appraise
evaporate,verb,to change from a liquid or solid state into vapor; pass off in vapor.Synonyms
evenly,adjective,level; flat; without surface irregularities; smooth
eventually,adverb,finally; ultimately; at some later time
event,noun,"something that happens or is regarded as happening; an occurrence, especially one of some importance."
even,adjective,level; flat; without surface irregularities; smooth
evoke,verb,"to call up or produce (memories, feelings, etc.)"
exactly,adverb,in an exact manner; precisely; accurately.
exaggerate,verb,to magnify beyond the limits of truth; overstate; represent disproportionately
examine,verb,to inspect or scrutinize carefully
example,noun,"one of a number of things, or a part of something, taken to show the character of the whole"
excavate,verb,"to make hollow by removing the inner part; make a hole or cavity in; form into a hollow, as by digging"
exchange,verb,to give up (something) for something else; part with for some equivalent; change for another.
exchange,verb,to give up (something) for something else; part with for some equivalent; change for another.
excitedly,adjective,stirred emotionally; agitated
exclaim,verb,"to cry out or speak suddenly and vehemently, as in surprise, strong emotion, or protest."
exclude,verb,to shut or keep out; prevent the entrance of.
excuse,verb,"to regard or judge with forgiveness or indulgence; pardon or forgive; overlook (a fault, error, etc.)"
exhale,verb,to emit breath or vapor; breathe out.
exhibit,verb,to offer or expose to view; present for inspection
exhort,verb,"to urge, advise, or caution earnestly; admonish urgently."
existence,noun,the state or fact of existing; being.
exist,verb,to have actual being; be
exits,noun,a way or passage out
expand,verb,"to increase in extent, size, volume, scope, etc."
expansion,noun,the act or process of expanding.
expect,verb,to look forward to; regard as likely to happen; anticipate the occurrence or the coming of
experience,noun,a particular instance of personally encountering or undergoing something
experience,noun,a particular instance of personally encountering or undergoing something
expert,noun,a person who has special skill or knowledge in some particular field; specialist; authority
explain,verb,to make plain or clear; render understandable or intelligible
exploit,noun,a striking or notable deed; feat; spirited or heroic act
explore,verb,"to traverse or range over (a region, area, etc.) for the purpose of discovery"
expose,verb,"to lay open to danger, attack, harm, etc."
expound,verb,to set forth or state in detail
express,verb,to put (thought) into words; utter or state
extend,verb,to stretch out; draw out to the full length
extinguish,verb,"to put out (a fire, light, etc.); put out the flame of (something burning or lighted)"
extract,verb,"to get, pull, or draw out, usually with special effort, skill, or force"
extrapolate,verb,to infer (an unknown) from something that is known; conjecture.
extremely,adverb,in an extreme degree; exceedingly
extricate,verb,to free or release from entanglement; disengage
exult,verb,to show or feel a lively or triumphant joy; rejoice exceedingly; be highly elated or jubilant
eyeball,noun,the ball or globe of the eye.
eyes,noun,"the organ of sight, in vertebrates typically one of a pair of spherical bodies contained in an orbit of the skull and in humans appearing externally as a dense, white, curved membrane, or sclera, surrounding a circular, colored portion, or iris, that is covered by a clear, curved membrane, or cornea, and in the center of which is an opening, or pupil, through which light passes to the retina."
eye,noun,"the organ of sight, in vertebrates typically one of a pair of spherical bodies contained in an orbit of the skull and in humans appearing externally as a dense, white, curved membrane, or sclera, surrounding a circular, colored portion, or iris, that is covered by a clear, curved membrane, or cornea, and in the center of which is an opening, or pupil, through which light passes to the retina."
eye,noun,"the organ of sight, in vertebrates typically one of a pair of spherical bodies contained in an orbit of the skull and in humans appearing externally as a dense, white, curved membrane, or sclera, surrounding a circular, colored portion, or iris, that is covered by a clear, curved membrane, or cornea, and in the center of which is an opening, or pupil, through which light passes to the retina."
fabricate,verb,to make by art or skill and labor; construct
face,noun,"the front part of the head, from the forehead to the chin."
face,noun,"the front part of the head, from the forehead to the chin."
fact,noun,something that actually exists; reality; truth
fail,verb,"to fall short of success or achievement in something expected, attempted, desired, or approved"
faint,adjective,"lacking brightness, vividness, clearness, loudness, strength, etc."
fairies,noun,"(in folklore) one of a class of supernatural beings, generally conceived as having a diminutive human form and possessing magical powers with which they intervene in human affairs."
fairly,adverb,in a fair manner; justly or honestly; impartially.
faithfully,adjective,strict or thorough in the performance of duty
fake,verb,"prepare or make (something specious, deceptive, or fraudulent)"
fall,verb,"to drop or descend under the force of gravity, as to a lower place through loss or lack of support."
fall,verb,"to drop or descend under the force of gravity, as to a lower place through loss or lack of support."
falter,verb,"to hesitate or waver in action, purpose, intent, etc.; give way"
familiarise,verb,to make (onself or another) well-acquainted or conversant with something.
familiarize,verb,to make (onself or another) well-acquainted or conversant with something.
family,noun,"a basic social unit consisting of parents and their children, considered as a group, whether dwelling together or not"
famously,adjective,"having a widespread reputation, usually of a favorable nature; renowned; celebrated"
fancy,noun,"imagination or fantasy, especially as exercised in a capricious manner."
fang,noun,"one of the long, sharp, hollow or grooved teeth of a venomous snake by which poison is injected."
fantasize,verb,"to conceive fanciful or extravagant notions, ideas, suppositions, or the like (often followed by about)"
fan,noun,any device for producing a current of air by the movement of a broad surface or a number of such surfaces.
fan,noun,any device for producing a current of air by the movement of a broad surface or a number of such surfaces.
farmer,noun,a person who farms; person who operates a farm or cultivates land.
farm,noun,"a tract of land, usually with a house, barn, silo, etc., on which crops and often livestock are raised for livelihood."
far,adverb,at or to a great distance; a long way off; at or to a remote point
fasten,verb,to attach firmly or securely in place; fix securely to something else.
fast,adjective,"moving or able to move, operate, function, or take effect quickly; quick; swift; rapid"
fatally,adverb,in a manner leading to death or disaster
father,noun,a male parent.
father,noun,a male parent.
faucet,noun,any device for controlling the flow of liquid from a pipe or the like by opening or closing an orifice; tap; cock.
favor,noun,"something done or granted out of goodwill, rather than from justice or for remuneration; a kind act"
favour,"noun, verb",favor.
fawn,noun,"a young deer, especially an unweaned one."
fear,noun,"a distressing emotion aro by impending danger, evil, pain, etc., whether the threat is real or imagined; the feeling or condition of being afraid.Synonyms"
fear,noun,"a distressing emotion aro by impending danger, evil, pain, etc., whether the threat is real or imagined; the feeling or condition of being afraid.Synonyms"
feast,noun,any rich or abundant meal
feather,noun,"one of the horny structures forming the principal covering of birds, consisting typically of a hard, tubular portion attached to the body and tapering into a thinner, stemlike portion bearing a series of slender, barbed processes that interlock to form a flat structure on each side."
feed,verb,to give food to; supply with nourishment
feeling,noun,the function or the power of perceiving by touch.
feel,verb,to perceive or examine by touch.
feet,noun,a plural of foot.
feign,verb,to represent fictitiously; put on an appearance of
feint,noun,a movement made in order to deceive an adversary; an attack aimed at one place or point merely as a distraction from the real place or point of attack
fence,noun,"a barrier enclosing or bordering a field, yard, etc., usually made of posts and wire or wood,  to prevent entrance, to confine, or to mark a boundary."
fend,verb,to ward off (often followed by off)
ferociously,adjective,"savagely fierce, as a wild beast, person, action, or aspect; violently cruel"
ferry,noun,"a commercial service with terminals and boats for transporting persons, automobiles, etc., across a river or other comparatively small body of water."
fervently,adjective,"having or showing great warmth or intensity of spirit, feeling, enthusiasm, etc.; ardent"
fetch,verb,to go and bring back; return with; get
fib,noun,a small or trivial lie; minor falsehood.
fiction,noun,"the class of literature comprising works of imaginative narration, especially in prose form."
fiddle,noun,a musical instrument of the viol family.
fidget,verb,"to move about restlessly, nervously, or impatiently."
field,noun,"an expanse of open or cleared ground, especially a piece of land suitable or  for pasture or tillage."
fiercely,adjective,"menacingly wild, savage, or hostile"
fifth,adjective,next after the fourth; being the ordinal number for five.
